gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Male,Group A,master's degree,standard,completed,61,25,29
Female,Group A,bachelor's degree,standard,none,21,21,63
Female,Group B,associate's degree,free/reduced,none,67,87,8
Female,Group A,bachelor's degree,free/reduced,completed,14,39,96
Male,Group A,master's degree,standard,completed,25,84,56
Male,Group D,associate's degree,standard,none,62,93,58
Male,Group E,associate's degree,standard,none,17,10,92
Female,Group E,high school,standard,none,72,8,94
Male,Group A,some college,free/reduced,completed,62,11,66
Male,Group A,high school,free/reduced,none,61,25,74
Female,Group A,high school,standard,completed,67,37,4
Female,Group D,master's degree,standard,completed,47,2,94
Male,Group D,some college,standard,none,49,96,83
Male,Group D,high school,standard,completed,62,14,3
Female,Group E,high school,free/reduced,completed,68,46,7
Female,Group B,associate's degree,free/reduced,completed,5,4,41
Female,Group E,master's degree,free/reduced,none,57,53,34
Male,Group D,high school,free/reduced,none,50,23,12
Male,Group C,some college,standard,none,11,10,4
Female,Group B,bachelor's degree,free/reduced,completed,94,32,39
Male,Group A,bachelor's degree,standard,none,46,86,18
Male,Group E,master's degree,free/reduced,completed,8,73,81
Male,Group B,bachelor's degree,free/reduced,none,6,56,96
Female,Group C,associate's degree,standard,completed,28,51,3
Male,Group B,associate's degree,free/reduced,none,77,63,58
Female,Group E,some college,standard,none,50,42,17
Male,Group D,master's degree,standard,completed,83,91,23
Female,Group A,master's degree,standard,completed,54,80,92
Female,Group D,bachelor's degree,standard,none,95,43,30
Male,Group D,high school,standard,none,58,89,57
Male,Group E,high school,free/reduced,completed,55,88,27
Female,Group D,high school,free/reduced,none,21,35,8
Female,Group D,some college,standard,completed,99,11,44
Male,Group E,master's degree,standard,completed,17,55,89
Female,Group E,bachelor's degree,standard,completed,57,2,48
Female,Group C,some college,standard,completed,39,49,1
Male,Group D,associate's degree,free/reduced,completed,88,28,5
Male,Group B,associate's degree,standard,completed,30,87,28
Male,Group A,associate's degree,free/reduced,completed,55,82,25
Male,Group A,master's degree,free/reduced,completed,34,76,27
Female,Group E,associate's degree,standard,completed,25,15,6
Male,Group E,high school,free/reduced,completed,67,39,33
Male,Group C,associate's degree,standard,completed,83,26,55
Male,Group D,some college,standard,completed,33,69,9
Male,Group E,associate's degree,free/reduced,completed,75,41,56
Female,Group E,high school,standard,completed,15,56,46
Female,Group A,associate's degree,standard,completed,41,9,85
Male,Group D,bachelor's degree,free/reduced,completed,4,37,26
Male,Group C,high school,free/reduced,none,60,7,38
Male,Group E,master's degree,free/reduced,none,43,17,21
Male,Group E,associate's degree,standard,completed,34,95,18
Female,Group E,some college,free/reduced,none,90,16,99
Female,Group A,associate's degree,free/reduced,none,0,57,8
Female,Group E,some college,free/reduced,none,97,65,18
Female,Group E,bachelor's degree,free/reduced,completed,42,43,1
Male,Group A,master's degree,standard,completed,31,83,91
Female,Group E,high school,free/reduced,completed,62,73,60
Female,Group D,high school,free/reduced,none,32,8,58
Male,Group D,master's degree,standard,none,94,47,85
Female,Group A,bachelor's degree,free/reduced,completed,76,38,69
Female,Group D,bachelor's degree,free/reduced,none,65,88,70
Female,Group C,associate's degree,standard,none,29,88,69
Male,Group E,bachelor's degree,standard,completed,9,87,32
Male,Group C,associate's degree,standard,none,22,5,77
Male,Group D,some college,standard,none,96,29,64
Male,Group A,master's degree,standard,completed,38,73,24
Female,Group A,some college,free/reduced,none,44,94,69
Female,Group C,some college,free/reduced,completed,28,17,27
Male,Group D,some college,free/reduced,completed,29,42,17
Male,Group E,some college,free/reduced,completed,33,32,62
Male,Group D,high school,standard,completed,51,52,90
Female,Group D,bachelor's degree,standard,completed,80,55,48
Female,Group A,master's degree,standard,completed,21,18,65
Male,Group B,master's degree,free/reduced,completed,4,86,39
Male,Group E,some college,standard,none,10,68,84
Male,Group E,master's degree,standard,completed,85,25,86
Male,Group A,associate's degree,free/reduced,none,31,28,65
Male,Group D,master's degree,standard,none,23,23,79
Male,Group A,some college,standard,completed,10,5,3
Male,Group D,master's degree,free/reduced,none,10,53,33
Male,Group B,bachelor's degree,free/reduced,completed,16,38,4
Female,Group B,some college,standard,completed,31,3,97
Male,Group C,high school,free/reduced,completed,82,57,21
Female,Group D,bachelor's degree,standard,completed,26,47,19
Male,Group A,master's degree,free/reduced,completed,31,59,46
Female,Group A,high school,free/reduced,completed,60,25,76
Male,Group A,bachelor's degree,free/reduced,none,24,78,33
Male,Group C,associate's degree,free/reduced,none,63,76,43
Female,Group E,bachelor's degree,standard,none,63,39,5
Male,Group A,high school,standard,none,27,85,55
Female,Group B,associate's degree,standard,none,39,76,28
Female,Group A,master's degree,free/reduced,completed,90,55,96
Female,Group A,some college,standard,none,13,38,52
Male,Group A,master's degree,free/reduced,completed,41,80,0
Female,Group E,some college,standard,completed,38,99,58
Male,Group A,some college,free/reduced,completed,1,38,47
Female,Group E,high school,free/reduced,completed,80,47,6
Male,Group E,associate's degree,free/reduced,completed,0,24,85
Female,Group C,associate's degree,standard,completed,31,33,31
Female,Group B,bachelor's degree,standard,completed,82,20,77
Male,Group A,master's degree,standard,none,63,24,60
Male,Group A,high school,standard,completed,77,88,56
Male,Group A,master's degree,free/reduced,completed,30,21,50
Male,Group E,bachelor's degree,free/reduced,none,57,22,87
Male,Group D,bachelor's degree,free/reduced,none,81,24,18
Male,Group B,high school,free/reduced,completed,77,77,26
Male,Group A,bachelor's degree,standard,none,13,77,62
Male,Group D,high school,standard,completed,87,25,59
Male,Group D,bachelor's degree,free/reduced,completed,68,29,60
Female,Group D,associate's degree,standard,completed,15,89,60
Female,Group B,high school,free/reduced,completed,68,37,86
Female,Group D,associate's degree,free/reduced,none,53,85,44
Female,Group A,associate's degree,free/reduced,none,12,33,20
Male,Group A,high school,standard,none,79,88,43
Female,Group C,master's degree,free/reduced,completed,78,99,92
Female,Group E,some college,standard,completed,30,76,0
Female,Group D,bachelor's degree,free/reduced,none,68,92,94
Male,Group E,bachelor's degree,standard,none,20,72,90
Male,Group E,master's degree,standard,completed,29,14,43
Female,Group E,some college,free/reduced,none,22,94,99
Female,Group E,master's degree,free/reduced,none,37,43,61
Female,Group E,some college,standard,completed,28,90,60
Male,Group A,high school,standard,none,76,94,90
Female,Group B,high school,standard,completed,31,9,78
Female,Group D,associate's degree,free/reduced,none,61,36,88
Male,Group D,associate's degree,free/reduced,none,90,6,78
Female,Group A,high school,standard,completed,97,31,82
Female,Group A,associate's degree,standard,completed,44,10,49
Female,Group E,high school,standard,completed,48,47,74
Female,Group B,master's degree,free/reduced,completed,32,91,40
Female,Group D,bachelor's degree,free/reduced,completed,3,67,32
Female,Group C,high school,standard,completed,17,47,86
Female,Group A,high school,standard,none,69,44,11
Female,Group C,high school,free/reduced,none,63,94,1
Male,Group D,associate's degree,free/reduced,completed,27,92,20
Female,Group A,associate's degree,standard,completed,57,32,13
Female,Group D,associate's degree,standard,completed,90,3,33
Female,Group A,associate's degree,standard,none,89,46,78
Male,Group D,master's degree,free/reduced,none,55,89,84
Female,Group C,high school,standard,none,19,52,63
Male,Group B,master's degree,standard,none,76,30,22
Female,Group A,associate's degree,standard,completed,91,30,84
Male,Group C,master's degree,free/reduced,none,33,26,49
Male,Group D,high school,free/reduced,none,86,88,13
Male,Group C,high school,free/reduced,none,9,47,84
Female,Group A,associate's degree,standard,completed,93,35,75
Female,Group C,high school,free/reduced,none,21,48,45
Male,Group D,master's degree,free/reduced,completed,4,30,4
Female,Group E,some college,free/reduced,none,43,100,65
Male,Group B,high school,free/reduced,none,8,43,21
Female,Group B,master's degree,free/reduced,none,42,58,69
Female,Group E,master's degree,standard,completed,3,22,1
Male,Group A,master's degree,standard,none,41,98,28
Male,Group C,high school,standard,none,64,67,60
Female,Group C,some college,standard,completed,97,91,99
Male,Group E,associate's degree,standard,none,40,41,70
Male,Group E,associate's degree,free/reduced,none,63,41,15
Female,Group D,high school,free/reduced,none,54,12,63
Male,Group D,high school,standard,none,89,0,96
Female,Group B,bachelor's degree,free/reduced,none,17,75,96
Female,Group A,some college,standard,completed,15,52,13
Male,Group A,master's degree,standard,none,86,39,42
Male,Group E,master's degree,free/reduced,none,45,89,75
Male,Group B,associate's degree,standard,completed,35,45,42
Female,Group B,high school,free/reduced,completed,89,86,69
Male,Group D,some college,standard,none,65,21,54
Female,Group C,associate's degree,free/reduced,none,43,51,75
Male,Group A,some college,free/reduced,none,4,27,30
Male,Group B,high school,free/reduced,completed,28,52,75
Female,Group D,master's degree,free/reduced,none,3,62,73
Male,Group D,bachelor's degree,free/reduced,completed,98,16,39
Male,Group D,some college,free/reduced,completed,85,63,26
Female,Group C,master's degree,standard,completed,48,5,51
Male,Group B,some college,standard,none,71,13,6
Male,Group E,some college,free/reduced,none,84,16,45
Female,Group E,some college,free/reduced,none,7,37,99
Male,Group D,high school,standard,completed,51,68,32
Male,Group D,associate's degree,standard,none,68,12,90
Female,Group C,some college,standard,none,20,52,7
Male,Group D,high school,standard,completed,26,8,4
Male,Group B,bachelor's degree,standard,completed,37,43,60
Male,Group D,associate's degree,free/reduced,completed,4,25,71
Female,Group D,high school,standard,completed,84,76,59
Male,Group B,bachelor's degree,standard,completed,60,18,84
Female,Group A,associate's degree,standard,none,7,47,23
Male,Group E,high school,free/reduced,completed,85,80,6
Male,Group D,bachelor's degree,standard,none,17,79,60
Male,Group B,high school,standard,completed,3,29,82
Male,Group E,bachelor's degree,free/reduced,none,3,31,94
Male,Group C,some college,free/reduced,none,36,77,35
Male,Group A,some college,standard,completed,14,78,26
Male,Group D,associate's degree,free/reduced,completed,37,75,28
Male,Group A,bachelor's degree,standard,none,26,100,86
Male,Group D,some college,standard,completed,84,74,19
Female,Group D,associate's degree,free/reduced,completed,47,68,69
Male,Group D,master's degree,standard,completed,45,10,75
Female,Group A,some college,free/reduced,completed,45,97,75
Female,Group C,some college,free/reduced,completed,47,82,2
Male,Group B,high school,free/reduced,completed,58,25,38
Female,Group B,master's degree,free/reduced,completed,3,25,98
Female,Group C,bachelor's degree,standard,completed,74,16,82
Female,Group C,associate's degree,standard,none,18,94,44
Female,Group D,master's degree,standard,none,56,82,67
Male,Group D,bachelor's degree,free/reduced,completed,18,43,30
Female,Group B,some college,standard,completed,90,83,37
Male,Group D,associate's degree,free/reduced,none,41,22,96
Female,Group D,associate's degree,standard,completed,91,24,5
Female,Group C,master's degree,free/reduced,completed,4,91,7
Female,Group A,high school,standard,completed,47,36,27
Male,Group E,bachelor's degree,standard,completed,24,75,14
Male,Group E,master's degree,free/reduced,none,66,64,94
Male,Group D,high school,standard,completed,25,1,7
Male,Group D,high school,free/reduced,none,73,73,53
Female,Group E,high school,free/reduced,completed,87,97,5
Male,Group C,associate's degree,standard,none,61,31,28
Female,Group E,bachelor's degree,standard,none,92,88,33
Male,Group E,bachelor's degree,standard,none,6,73,6
Female,Group E,master's degree,free/reduced,completed,43,54,39
Female,Group D,some college,free/reduced,completed,86,49,73
Male,Group D,master's degree,free/reduced,completed,26,64,12
Female,Group E,bachelor's degree,free/reduced,none,41,31,61
Female,Group D,associate's degree,free/reduced,completed,72,36,85
Female,Group E,master's degree,free/reduced,completed,55,75,84
Female,Group C,some college,free/reduced,none,2,81,64
Female,Group D,master's degree,free/reduced,completed,12,93,40
Male,Group A,high school,free/reduced,none,69,12,41
Male,Group D,some college,standard,completed,58,53,65
Female,Group C,high school,free/reduced,none,37,2,92
Female,Group C,associate's degree,free/reduced,none,84,84,10
Male,Group D,bachelor's degree,standard,none,82,41,100
Male,Group B,master's degree,standard,none,88,77,49
Male,Group E,master's degree,free/reduced,none,67,39,70
Female,Group E,high school,standard,none,85,73,34
Female,Group C,high school,standard,none,68,65,93
Male,Group D,bachelor's degree,free/reduced,completed,0,59,79
Male,Group B,master's degree,free/reduced,none,49,100,78
Male,Group A,bachelor's degree,standard,completed,80,10,19
Female,Group E,high school,free/reduced,completed,72,0,27
Female,Group B,high school,standard,completed,8,25,36
Female,Group E,some college,free/reduced,none,52,41,2
Male,Group D,high school,free/reduced,completed,87,61,92
Female,Group E,high school,standard,none,9,60,58
Male,Group A,bachelor's degree,standard,completed,83,76,100
Male,Group D,some college,standard,none,80,91,72
Male,Group C,some college,standard,none,76,99,26
Female,Group B,master's degree,standard,completed,28,84,31
Female,Group E,associate's degree,free/reduced,none,35,61,47
Female,Group D,master's degree,free/reduced,completed,86,73,45
Female,Group D,master's degree,standard,none,26,11,94
Female,Group E,master's degree,standard,none,17,26,46
Female,Group C,some college,standard,completed,17,66,89
Male,Group E,bachelor's degree,free/reduced,none,8,27,39
Male,Group C,high school,free/reduced,completed,66,65,2
Female,Group E,some college,standard,completed,6,27,74
Female,Group D,high school,free/reduced,completed,57,94,28
Female,Group A,high school,free/reduced,none,78,20,90
Male,Group A,associate's degree,standard,completed,29,6,57
Female,Group D,master's degree,standard,completed,72,94,49
Male,Group A,associate's degree,free/reduced,completed,60,13,9
Female,Group C,master's degree,free/reduced,completed,90,38,60
Male,Group D,some college,free/reduced,none,99,72,98
Male,Group C,high school,free/reduced,none,81,86,60
Female,Group D,associate's degree,free/reduced,completed,94,61,22
Male,Group C,some college,standard,completed,16,11,5
Male,Group C,some college,free/reduced,completed,52,92,74
Male,Group A,master's degree,standard,completed,5,37,59
Male,Group D,high school,standard,completed,38,57,26
Female,Group E,master's degree,free/reduced,completed,24,55,54
Male,Group A,master's degree,standard,none,41,38,30
Male,Group C,some college,free/reduced,completed,41,85,29
Male,Group C,master's degree,standard,completed,58,3,66
Female,Group E,bachelor's degree,free/reduced,completed,37,47,12
Female,Group E,high school,standard,completed,30,6,58
Male,Group C,master's degree,free/reduced,completed,28,59,53
Female,Group E,master's degree,free/reduced,completed,8,39,20
Female,Group B,associate's degree,standard,none,0,7,42
Female,Group A,high school,standard,none,79,57,10
Female,Group D,high school,standard,completed,86,56,66
Female,Group E,master's degree,free/reduced,none,71,34,37
Female,Group E,bachelor's degree,standard,completed,46,72,94
Female,Group B,associate's degree,standard,none,75,12,23
Male,Group D,bachelor's degree,free/reduced,completed,9,38,50
Male,Group B,master's degree,free/reduced,completed,15,83,75
Male,Group D,high school,standard,completed,46,20,60
Female,Group A,high school,standard,none,42,46,45
Male,Group E,bachelor's degree,free/reduced,none,23,82,42
Female,Group A,some college,free/reduced,completed,7,1,26
Female,Group D,master's degree,free/reduced,completed,74,43,84
Male,Group E,high school,standard,none,25,29,88
Male,Group B,some college,standard,completed,6,86,29
Male,Group C,high school,free/reduced,completed,78,54,93
Male,Group B,high school,free/reduced,completed,14,39,62
Female,Group C,some college,free/reduced,none,47,76,9
Male,Group B,bachelor's degree,standard,none,2,96,2
Male,Group D,master's degree,standard,completed,15,95,76
Female,Group A,some college,standard,completed,78,91,59
Female,Group C,some college,standard,none,88,23,26
Female,Group D,high school,free/reduced,completed,96,41,81
Female,Group A,some college,free/reduced,completed,13,27,44
Female,Group A,master's degree,standard,completed,87,93,61
Male,Group E,bachelor's degree,free/reduced,completed,74,92,23
Male,Group E,bachelor's degree,free/reduced,none,2,97,45
Female,Group E,bachelor's degree,standard,completed,72,50,77
Male,Group C,master's degree,free/reduced,completed,69,21,43
Female,Group C,high school,standard,completed,30,88,62
Male,Group A,master's degree,standard,none,79,77,3
Male,Group C,some college,standard,none,74,73,15
Male,Group A,associate's degree,free/reduced,none,16,73,50
Male,Group D,associate's degree,standard,completed,48,7,73
Male,Group B,associate's degree,free/reduced,completed,2,13,100
Female,Group A,bachelor's degree,free/reduced,completed,82,44,90
Male,Group A,master's degree,standard,none,87,37,47
Male,Group D,master's degree,standard,none,54,31,64
Male,Group E,bachelor's degree,standard,completed,71,61,68
