fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
13.42,0.811,0.26,5.92,0.167,21,23,1.00499,3.87,0.66,9.38,9
6.4,1.393,0.731,14.19,0.085,72,247,0.9943,3.04,1.14,12.03,9
10.17,1.367,0.981,9.81,0.04,21,122,0.99421,3.54,0.33,14.48,9
11.11,0.579,0.257,10.24,0.15,11,291,0.9924,2.91,1.44,9.03,3
4.56,1.343,0.654,9.67,0.078,38,287,0.99246,3.27,1.19,14.8,0
11.29,0.156,0.198,3.39,0.138,72,149,0.99428,3.66,1.83,14.63,0
6.05,0.994,0.565,6.57,0.061,35,210,1.00189,3.59,0.58,14.19,9
4.78,0.445,0.464,11.39,0.025,14,44,1.00359,3.55,1.67,9.5,4
15.39,0.281,0.972,1.97,0.199,14,159,1.00463,3.14,1.65,12.44,2
15.59,0.215,0.609,4.53,0.04,10,181,0.99348,3.25,0.52,13.33,4
13.7,1.144,0.35,4.51,0.198,12,246,1.00322,2.92,0.98,14.9,4
7.66,0.61,0.114,6.76,0.196,38,139,0.99492,3.66,0.59,9.26,0
5.17,1.187,0.151,14.72,0.161,34,51,0.99169,3.4,0.73,13.36,7
12.21,0.198,0.225,1.48,0.135,41,55,1.00305,3.65,0.75,10.37,4
9.28,0.573,0.251,8.02,0.12,10,171,0.99954,3.1,1.25,9.23,4
5.46,0.909,0.851,3.1,0.175,17,111,0.99247,3.19,1.0,10.95,8
9.94,1.286,0.561,14.57,0.065,17,221,0.99645,3.2,1.91,13.56,7
4.41,0.578,0.523,2.14,0.099,67,151,0.99431,2.83,0.51,11.25,0
14.91,1.039,0.115,6.35,0.128,62,77,1.00105,3.21,1.96,11.76,2
7.11,1.429,0.86,11.2,0.088,1,278,0.9968,3.76,0.69,14.97,6
11.95,1.024,0.723,10.72,0.091,12,252,1.00484,3.88,1.61,10.79,0
7.74,0.449,0.068,6.63,0.073,4,191,0.99082,3.42,0.88,12.31,0
10.24,0.137,0.708,5.52,0.117,42,75,0.99533,3.35,0.54,10.56,4
10.56,1.405,0.544,6.27,0.172,13,155,0.99723,2.84,1.76,10.75,8
6.22,0.132,0.082,4.33,0.048,4,251,0.99755,3.86,0.83,12.87,5
15.64,1.412,0.458,3.48,0.188,69,267,0.99474,2.82,1.42,14.57,9
13.3,0.893,0.485,7.5,0.141,19,31,1.00094,3.93,1.26,11.8,1
15.27,1.509,0.166,4.39,0.166,2,145,1.00312,3.39,1.1,13.38,10
14.74,1.298,0.946,4.67,0.116,12,104,1.00408,3.21,1.14,8.62,8
11.17,1.597,0.85,10.02,0.158,74,283,1.00208,3.91,1.54,9.48,5
15.06,0.626,0.669,14.54,0.013,6,56,1.00276,2.83,0.45,11.51,4
5.06,1.251,0.462,9.25,0.165,8,156,0.99826,3.5,1.44,8.14,4
6.35,0.703,0.412,1.62,0.018,51,109,1.00239,3.46,1.82,9.77,2
4.54,0.82,0.651,1.6,0.179,11,94,0.99455,3.06,0.4,11.62,5
7.9,1.041,0.545,14.3,0.198,63,146,0.99598,3.31,0.54,8.1,3
8.66,1.411,0.062,4.81,0.066,57,218,0.99475,3.58,1.52,9.85,9
7.26,1.576,0.513,1.83,0.05,12,238,0.99701,3.67,1.04,11.6,1
13.94,1.252,0.806,9.19,0.155,73,188,0.99428,2.8,0.99,12.01,2
8.28,0.727,0.459,9.54,0.058,2,256,1.00442,3.92,0.53,14.48,8
7.37,0.732,0.052,9.9,0.174,8,14,0.99469,3.0,1.16,12.52,10
10.51,1.206,0.786,4.38,0.03,11,84,0.99147,3.08,0.52,10.9,10
5.69,0.458,0.201,0.72,0.034,53,57,0.9979,3.12,1.11,14.51,8
13.63,0.266,0.259,14.49,0.196,10,274,0.99086,2.85,1.6,13.49,5
4.89,0.632,0.165,4.14,0.138,8,231,0.99166,2.95,0.74,9.4,9
15.84,0.531,0.33,10.3,0.171,36,56,0.99329,3.98,1.12,8.92,9
13.27,0.544,0.757,10.75,0.072,14,191,0.99697,3.18,1.99,12.73,8
6.38,0.45,0.519,9.35,0.139,54,39,0.9965,2.94,1.47,11.92,3
4.07,0.163,0.205,5.04,0.123,21,296,1.002,2.93,1.73,13.53,10
13.79,0.127,0.878,4.43,0.125,50,235,1.00109,3.66,1.01,13.17,4
12.48,1.582,0.88,9.17,0.14,39,136,0.99639,3.83,1.61,12.38,9
12.75,0.742,0.871,13.06,0.119,20,125,0.99501,3.11,0.37,14.9,5
13.26,0.676,0.239,14.23,0.092,7,252,0.99475,2.83,0.51,11.74,8
4.89,1.119,0.451,2.04,0.062,9,197,1.00161,3.07,0.65,8.79,4
8.3,0.427,0.985,2.75,0.156,1,215,0.99078,2.87,0.98,13.8,7
5.39,1.525,0.772,14.2,0.053,26,108,0.99019,2.92,1.74,9.76,10
14.36,1.28,0.027,11.18,0.142,38,138,1.00193,3.32,0.89,13.44,0
11.48,0.234,0.065,13.3,0.054,38,144,0.99716,3.08,1.41,14.7,4
7.97,0.726,0.464,3.44,0.129,61,126,0.99196,3.42,1.51,12.88,9
4.76,1.419,0.909,9.02,0.152,44,99,0.99353,3.1,1.3,12.17,0
7.73,1.517,0.539,10.67,0.052,44,134,1.00399,3.93,0.91,11.22,9
7.9,0.801,0.498,10.36,0.021,74,96,1.00289,3.89,1.28,10.55,5
12.76,1.02,0.105,6.42,0.035,62,97,1.00065,3.48,0.88,10.47,6
11.65,0.351,0.657,0.72,0.125,6,68,0.99723,3.23,0.44,12.45,4
14.65,1.587,0.822,8.95,0.171,17,34,0.9978,3.26,1.99,13.26,0
9.67,0.448,0.38,4.17,0.019,51,215,1.00463,3.29,0.52,12.75,5
5.44,1.514,0.776,7.03,0.149,38,17,1.00449,3.67,0.42,9.39,9
12.56,1.074,0.964,14.38,0.075,24,135,0.99323,3.34,1.79,11.46,4
13.13,1.012,0.204,6.29,0.101,51,298,1.00217,3.83,0.81,13.54,5
10.74,0.869,0.523,12.68,0.186,10,178,0.99296,3.93,1.41,11.33,10
13.25,0.446,0.287,3.23,0.073,72,213,0.9932,3.2,0.86,11.76,9
9.93,0.365,0.793,10.25,0.098,21,29,1.00014,3.47,0.97,13.4,6
10.27,0.431,0.578,14.67,0.013,70,104,0.99608,2.91,0.75,12.63,6
9.13,0.38,0.635,1.98,0.026,57,144,1.00397,3.04,0.88,10.87,1
4.31,1.269,0.798,0.62,0.059,39,179,0.99134,3.3,1.0,14.27,2
5.29,0.625,0.396,6.79,0.015,33,34,0.99767,3.05,1.52,9.14,5
4.38,0.187,0.915,1.84,0.13,59,148,1.00378,3.85,1.17,14.97,2
11.64,1.554,0.533,11.35,0.091,18,47,1.00356,2.99,1.9,8.83,1
7.77,1.426,0.158,13.76,0.114,56,213,0.99235,3.35,0.37,8.1,3
10.1,1.492,0.696,6.79,0.043,57,197,0.9955,3.53,1.16,14.23,4
14.89,1.592,0.793,4.25,0.066,48,165,0.99929,3.63,1.29,9.71,10
6.99,0.361,0.317,6.8,0.136,42,69,0.99239,3.26,1.86,13.11,9
8.92,0.694,0.857,10.99,0.193,27,248,1.00452,3.84,0.38,13.68,8
13.07,1.237,0.906,0.63,0.02,74,263,1.00372,3.48,1.27,14.01,2
6.75,1.144,0.277,9.05,0.179,52,157,0.9925,3.33,1.75,14.94,2
4.92,0.331,0.984,9.39,0.12,42,220,0.99182,2.88,0.71,10.06,5
7.48,1.324,0.141,9.75,0.117,32,171,0.99128,3.36,1.79,12.97,4
5.93,0.437,0.202,4.01,0.105,26,36,1.00364,3.78,0.33,8.81,5
15.16,0.436,0.184,10.85,0.023,25,237,0.9929,3.54,1.55,10.85,6
13.7,0.905,0.894,1.83,0.027,23,287,0.99624,3.8,1.89,13.94,10
11.6,0.989,0.654,3.39,0.124,57,34,0.99673,3.39,1.42,10.57,2
14.46,0.97,0.152,13.22,0.075,52,200,0.99899,2.94,1.05,12.14,4
13.64,0.237,0.44,11.21,0.184,31,261,0.99108,2.82,0.38,11.53,7
6.24,1.416,0.615,0.7,0.087,64,286,0.9934,3.16,1.86,12.52,3
14.71,0.498,0.083,4.1,0.037,71,299,1.00397,3.64,1.1,14.81,9
10.47,0.294,0.882,3.61,0.146,33,92,1.00363,3.75,0.35,8.39,1
13.69,1.433,0.804,4.43,0.066,2,154,1.00172,3.15,1.47,12.02,3
14.75,1.533,0.505,4.09,0.11,18,254,0.99029,3.39,1.12,14.04,1
7.82,1.393,0.967,1.41,0.143,47,288,0.99491,3.31,0.51,11.37,2
5.32,1.314,0.418,7.15,0.181,33,203,0.99942,3.29,0.66,8.55,3
6.74,1.083,0.984,11.12,0.161,35,49,0.99413,3.08,0.41,11.92,3
9.13,0.926,0.668,9.3,0.139,51,33,1.00364,2.96,1.28,10.32,9
13.82,0.23,0.635,10.26,0.139,18,22,0.99951,3.04,1.36,9.08,8
14.33,0.713,0.166,1.68,0.19,72,132,0.99108,2.87,1.16,13.94,9
4.08,0.659,0.882,14.3,0.066,30,173,1.00364,3.04,1.69,11.65,5
10.13,0.49,0.427,12.66,0.01,44,249,1.00437,2.81,1.76,14.53,8
9.01,1.185,0.162,12.17,0.062,53,81,0.99117,3.55,1.35,13.64,3
6.67,0.844,0.013,12.43,0.051,10,236,0.99799,3.18,0.32,12.85,8
5.44,0.222,0.56,14.02,0.136,52,209,0.99455,3.97,1.48,8.04,10
8.05,0.43,0.527,8.39,0.13,49,253,0.99589,3.03,1.01,10.99,8
15.31,1.125,0.719,3.4,0.123,11,219,0.99269,3.21,1.26,9.38,5
7.88,0.214,0.89,9.44,0.013,66,220,0.99867,3.23,1.4,14.38,4
10.23,1.377,0.079,11.27,0.148,58,163,1.00437,2.81,0.9,9.22,2
12.44,0.843,0.731,11.2,0.071,36,74,0.99755,3.81,1.86,10.0,4
8.36,0.821,0.187,8.06,0.136,33,90,0.99124,2.84,0.53,11.62,2
15.66,0.989,0.858,1.49,0.116,47,272,0.9993,3.93,1.44,9.84,4
15.55,1.337,0.819,5.88,0.075,13,74,0.9951,3.87,0.31,9.47,4
7.02,0.622,0.541,13.85,0.036,40,104,1.00284,3.44,1.87,12.19,1
9.97,1.117,0.71,8.97,0.028,68,221,0.99652,3.45,0.49,8.62,8
7.61,0.949,0.314,8.31,0.168,42,166,0.99289,3.58,0.46,8.41,6
7.42,0.501,0.471,4.4,0.184,19,99,0.99287,3.26,0.87,10.61,5
4.44,1.418,0.822,5.84,0.133,19,179,1.00153,3.58,0.94,13.04,4
11.31,1.296,0.459,13.48,0.03,58,170,0.99398,2.85,0.66,11.88,3
10.03,1.088,0.358,10.16,0.086,23,120,1.00151,2.86,1.29,10.96,7
4.62,1.376,0.494,11.92,0.148,54,225,0.99309,3.35,1.05,11.96,1
7.34,1.401,0.828,7.09,0.158,65,36,0.99483,3.46,0.36,10.56,7
14.9,1.163,0.335,9.64,0.032,12,16,0.99698,3.87,0.84,14.55,0
6.87,1.356,0.174,4.1,0.01,24,135,1.00415,2.93,1.68,8.38,9
5.74,1.146,0.712,10.73,0.145,34,110,1.00398,3.79,1.47,12.71,0
9.87,1.12,0.826,6.7,0.078,53,32,0.9931,3.05,1.53,14.24,2
15.83,1.028,0.101,6.92,0.058,8,232,0.99537,3.27,1.49,13.63,4
6.9,1.229,0.24,9.92,0.012,18,7,0.99224,3.18,0.83,9.29,5
12.07,0.338,0.142,14.08,0.113,57,106,0.99765,3.28,0.47,10.07,3
13.14,1.421,0.348,1.43,0.172,5,26,0.99691,2.98,0.76,13.02,6
6.85,1.408,0.45,12.46,0.192,26,63,1.00351,3.4,1.71,8.59,6
12.74,0.144,0.749,4.74,0.117,30,185,1.00395,3.76,1.97,13.68,1
8.41,1.339,0.651,6.94,0.108,54,25,0.99575,3.33,1.14,13.03,1
11.59,0.293,0.621,0.82,0.026,13,260,0.99738,3.39,0.32,13.11,1
11.6,0.603,0.352,4.87,0.114,29,43,1.00344,3.82,0.54,8.7,1
10.43,1.215,0.841,7.79,0.082,3,153,1.0021,3.65,0.85,13.02,8
5.08,0.341,0.471,1.31,0.125,58,30,0.99005,3.39,1.28,12.76,4
14.02,1.327,0.979,7.62,0.084,2,126,0.9948,3.11,0.43,13.82,10
7.85,1.348,0.634,13.94,0.056,28,31,0.99633,3.86,1.9,8.29,7
6.24,0.861,0.126,2.03,0.028,2,174,0.99345,3.49,0.92,8.16,4
4.49,0.11,0.676,11.58,0.07,7,230,0.99299,3.07,1.85,10.61,10
11.09,0.531,0.325,6.44,0.028,26,6,0.99057,3.12,1.63,9.04,4
12.13,1.025,0.686,10.0,0.044,16,266,0.99965,3.76,1.58,11.91,0
4.2,1.572,0.07,4.27,0.198,23,18,0.99394,2.85,1.33,14.42,5
10.15,1.048,0.175,2.81,0.094,40,53,0.99079,3.99,1.37,10.74,3
6.72,0.49,0.856,2.83,0.111,60,296,0.99346,2.96,1.38,13.91,2
11.74,1.051,0.227,1.52,0.176,73,99,1.00203,3.76,1.37,8.0,5
6.09,0.91,0.837,3.19,0.199,32,266,1.00277,3.27,1.24,9.18,1
12.29,1.27,0.279,10.13,0.121,15,283,0.99725,3.39,1.98,8.21,7
8.64,0.26,0.643,13.28,0.164,13,210,0.99624,3.86,1.54,10.3,0
15.24,1.242,0.694,12.3,0.072,5,190,1.00467,3.3,1.62,14.36,8
5.65,0.912,0.513,10.43,0.068,74,180,0.99301,3.44,1.78,8.68,7
8.09,1.544,0.305,2.1,0.087,52,74,0.99323,2.86,0.67,12.24,0
5.36,0.613,0.213,4.69,0.138,41,109,0.99438,2.8,0.44,11.16,9
15.1,1.049,0.033,4.99,0.14,53,251,0.99259,3.09,1.12,14.57,8
14.53,1.498,0.304,4.12,0.07,50,166,0.99569,3.62,1.17,8.86,1
7.1,0.254,0.653,7.97,0.035,15,205,1.00366,2.95,1.71,9.48,2
11.92,1.506,0.938,8.27,0.13,7,221,0.99923,2.94,1.05,8.21,1
13.81,1.132,0.871,5.67,0.034,40,217,0.99618,3.29,1.27,11.04,7
10.66,0.202,0.766,5.63,0.12,28,21,1.00402,3.58,1.2,9.94,1
10.36,0.551,0.788,12.51,0.142,32,210,0.99073,3.65,0.36,14.09,9
6.9,1.162,0.665,11.94,0.143,15,44,0.99315,3.01,1.35,12.23,1
5.12,0.201,0.26,4.96,0.153,70,94,0.99849,2.9,1.71,12.3,0
14.77,0.973,0.907,13.75,0.176,65,261,0.99923,3.93,0.57,11.72,6
14.81,0.619,0.671,14.32,0.105,4,259,0.99059,3.11,1.31,8.64,1
11.6,1.031,0.56,5.24,0.149,11,221,0.99605,3.82,1.31,11.12,9
8.07,0.169,0.111,5.64,0.128,26,177,0.99974,3.84,0.58,15.0,4
8.19,1.407,0.447,7.83,0.045,61,142,1.00047,3.73,0.51,13.85,4
12.71,1.56,0.46,14.15,0.015,37,183,0.99957,3.0,1.97,14.25,2
14.77,1.553,0.865,13.21,0.064,23,82,0.99481,3.79,0.97,13.76,2
14.65,1.224,0.547,1.99,0.094,40,193,0.9914,3.72,0.69,8.72,2
13.36,0.295,0.38,6.19,0.127,23,20,0.99641,3.52,0.59,9.59,5
11.7,1.237,0.977,8.52,0.171,16,297,0.99193,3.2,1.43,8.02,3
5.01,0.137,0.111,7.8,0.047,61,219,1.00421,3.12,1.34,10.12,2
5.94,0.133,0.423,3.31,0.034,68,213,0.99713,2.95,1.39,8.76,1
14.78,0.585,0.042,12.95,0.193,31,174,0.99476,3.41,0.45,11.31,2
11.28,0.833,0.74,10.32,0.031,53,285,1.00149,3.5,1.82,12.74,3
4.11,1.256,0.918,12.65,0.101,25,151,0.99747,3.23,0.96,14.12,5
5.22,1.125,0.28,12.95,0.121,44,268,0.99465,3.37,0.83,13.24,3
11.96,0.769,0.858,11.35,0.113,12,9,1.00218,3.24,1.09,14.57,7
4.06,0.51,0.292,6.87,0.026,9,95,1.00301,3.57,0.96,8.38,2
5.93,1.596,0.911,9.35,0.021,12,65,1.0001,3.88,1.77,8.09,2
10.58,0.739,0.754,2.83,0.03,69,21,0.9907,3.0,1.88,12.63,2
12.3,0.777,0.805,10.27,0.121,54,232,0.99849,3.26,0.82,10.03,7
11.82,0.345,0.018,3.1,0.113,54,34,1.00145,2.97,1.77,9.77,3
6.69,1.292,0.963,10.56,0.054,28,156,0.99205,3.55,1.63,10.32,0
12.55,1.141,0.727,3.83,0.131,56,250,0.99343,3.67,1.88,9.89,1
6.85,0.431,0.305,2.2,0.166,69,275,1.00324,3.92,0.72,11.58,9
7.9,0.224,0.829,2.9,0.018,58,84,0.9903,3.13,1.28,11.08,1
12.96,1.121,0.282,0.53,0.105,42,294,1.00129,3.94,0.77,11.59,2
11.8,1.082,0.873,10.92,0.141,38,158,0.99711,2.88,1.7,12.71,5
14.19,0.51,0.113,11.12,0.058,68,282,0.9967,3.52,0.31,10.71,7
11.89,1.526,0.704,7.97,0.068,53,284,0.99011,2.87,1.26,9.76,0
10.82,0.327,0.541,2.84,0.127,33,62,1.00229,3.87,0.88,9.16,8
5.12,0.749,0.097,1.71,0.181,71,191,0.9954,3.44,0.85,10.45,0
8.41,1.515,0.242,0.78,0.164,56,98,0.99811,3.6,1.4,13.19,9
7.18,0.73,0.012,2.9,0.121,72,281,1.00016,3.8,1.75,13.3,1
6.93,1.058,0.469,13.42,0.149,51,163,1.00054,2.98,1.34,12.67,2
15.68,0.696,0.301,4.0,0.079,74,280,1.00434,2.85,1.75,9.64,6
8.72,0.511,0.598,5.64,0.132,43,186,0.99797,3.85,0.75,12.12,8
14.7,1.576,0.297,2.03,0.099,15,82,0.996,3.18,1.18,11.99,2
11.57,0.714,0.3,3.72,0.046,38,156,1.00431,2.95,1.07,11.39,7
13.54,1.441,0.743,8.03,0.143,15,243,0.99963,3.36,0.32,11.85,8
10.03,0.445,0.048,9.31,0.116,5,294,0.99447,3.52,1.25,11.44,9
10.92,0.42,0.903,4.06,0.078,54,236,0.9919,2.84,1.42,11.96,6
9.91,0.147,0.852,1.34,0.183,51,23,1.00264,3.13,1.31,13.01,3
6.34,1.078,0.668,6.17,0.014,10,78,0.99543,2.84,1.55,8.77,3
12.67,0.653,0.593,3.9,0.07,12,194,0.99991,3.3,1.27,13.25,3
7.37,1.397,0.892,3.68,0.021,4,22,0.99706,3.87,0.41,8.95,5
4.29,0.81,0.185,14.42,0.156,18,24,0.99298,3.98,0.5,8.47,3
11.75,1.552,0.079,9.44,0.143,36,224,0.99903,3.56,1.31,14.83,4
6.13,0.378,0.24,8.57,0.073,25,125,0.99091,2.99,0.77,14.7,8
15.29,1.403,0.795,6.53,0.138,36,106,0.9962,3.89,0.44,8.42,6
15.45,1.265,0.035,6.72,0.085,67,39,0.9982,3.42,1.03,11.1,7
14.98,1.256,0.583,8.34,0.154,9,89,0.99654,2.98,1.24,9.3,4
8.44,1.367,0.995,10.6,0.096,61,201,1.00123,3.91,0.86,11.4,4
4.19,1.242,0.856,10.68,0.088,53,207,1.00242,3.71,1.52,13.81,10
15.14,1.039,0.521,2.99,0.188,18,16,1.00157,3.68,1.39,14.65,6
9.14,0.297,0.064,7.75,0.058,43,223,0.99058,3.65,0.87,12.44,10
15.6,0.149,0.831,6.47,0.033,35,258,0.99291,3.04,1.58,10.48,7
15.56,1.481,0.599,13.12,0.121,63,227,0.99805,3.05,1.4,12.22,8
14.24,1.025,0.115,9.66,0.194,4,85,1.00402,3.63,1.38,10.18,1
7.53,1.295,0.094,8.22,0.082,41,12,1.00252,3.06,1.24,14.37,2
8.62,0.822,0.91,2.17,0.022,45,277,1.00264,3.33,0.32,14.09,1
14.21,0.276,0.669,9.28,0.074,50,232,0.99455,3.74,1.48,11.91,9
7.8,0.288,0.829,2.2,0.106,28,21,0.99644,3.74,0.94,10.27,6
6.03,1.128,0.879,5.39,0.041,42,17,0.99706,3.34,1.9,10.05,1
10.68,0.745,0.572,2.57,0.135,69,296,0.99236,3.75,1.69,8.23,1
15.23,0.401,0.517,10.54,0.2,1,246,0.99047,3.81,1.3,13.71,1
12.35,0.837,0.43,3.49,0.096,39,26,1.0042,3.59,0.73,11.15,3
10.84,0.196,0.317,6.18,0.077,17,183,0.99361,3.07,0.65,10.28,0
5.17,0.973,0.435,13.49,0.086,35,233,0.9936,3.13,0.88,11.3,1
11.38,0.503,0.774,3.46,0.032,46,278,0.99125,3.18,1.11,13.73,2
15.88,1.296,0.602,7.86,0.178,42,293,1.00393,2.94,0.8,8.87,6
5.68,0.566,0.893,6.58,0.089,39,139,0.9987,3.13,1.18,14.0,9
10.22,0.783,0.443,0.76,0.084,49,288,1.00001,3.05,0.58,14.28,0
14.53,0.117,0.607,11.99,0.135,62,158,1.00367,3.35,1.96,14.63,5
12.89,0.209,0.631,1.5,0.094,38,71,0.99518,3.89,0.48,10.78,2
12.36,0.689,0.592,7.38,0.133,23,142,0.99932,2.93,1.88,9.52,2
12.43,0.82,0.703,8.63,0.022,22,97,0.99058,3.66,1.85,10.62,3
8.31,1.0,0.237,9.61,0.165,4,264,0.9928,3.62,1.19,10.33,3
7.52,0.537,0.512,10.49,0.189,49,108,1.00247,2.91,1.53,9.23,6
13.71,1.142,0.104,4.17,0.133,59,60,1.0015,3.91,1.04,12.25,2
13.72,1.39,0.385,0.64,0.191,73,262,0.99526,3.48,1.37,11.34,7
14.4,1.27,0.488,10.99,0.039,68,106,0.99565,3.24,0.88,14.06,7
14.96,0.159,0.652,8.27,0.101,71,203,0.998,3.71,0.81,8.22,10
10.14,0.821,0.951,12.62,0.124,2,231,0.99,3.11,1.28,12.51,6
10.02,0.257,0.601,12.41,0.121,49,242,0.99362,3.63,1.15,13.34,1
13.58,0.463,0.744,12.73,0.086,31,31,0.99312,2.85,1.29,13.32,4
11.8,1.58,0.506,7.53,0.074,40,126,0.99376,3.81,0.79,14.2,5
12.42,0.314,0.634,5.34,0.034,48,187,1.00209,3.34,0.92,13.1,9
13.55,0.848,0.071,11.98,0.084,51,204,0.9942,3.56,0.44,14.49,3
14.68,1.027,0.254,7.04,0.041,43,260,0.99287,3.07,0.39,10.33,9
8.06,1.154,0.362,3.16,0.15,55,127,0.99756,3.61,0.73,11.52,4
8.51,0.939,0.472,12.9,0.05,49,36,1.00298,3.73,0.43,8.1,8
5.13,0.115,0.046,13.3,0.021,57,290,0.99362,3.37,0.48,8.05,10
10.94,0.59,0.14,7.26,0.115,15,111,0.99118,3.54,1.68,9.68,6
4.43,0.877,0.277,1.6,0.123,27,229,0.99535,3.35,0.37,8.71,1
9.59,0.232,0.972,6.12,0.176,68,278,1.00121,3.87,1.42,9.82,10
10.51,0.626,0.331,12.15,0.12,64,237,0.99826,3.4,0.76,9.24,0
7.44,0.15,0.482,13.58,0.076,30,261,1.00225,3.81,1.78,8.2,1
11.09,0.218,0.196,3.45,0.163,36,29,1.00439,3.76,1.12,14.37,2
4.37,0.695,0.611,1.47,0.113,67,114,1.00189,3.29,0.82,8.06,10
4.45,0.299,0.281,13.22,0.025,49,196,0.99906,3.08,1.18,13.15,1
13.87,0.951,0.207,6.15,0.118,55,30,0.9974,3.29,0.95,9.07,10
8.32,1.134,0.517,8.36,0.183,56,192,0.9906,3.79,1.26,14.39,2
5.52,1.301,0.006,14.54,0.085,68,293,1.00476,3.07,0.49,14.25,9
10.27,0.4,0.008,1.47,0.066,44,121,0.99575,3.43,1.99,12.58,10
13.24,0.351,0.219,9.9,0.037,31,42,0.99228,3.77,1.02,12.71,10
6.59,0.257,0.037,1.57,0.039,58,287,1.0,3.22,0.89,8.04,8
11.47,1.055,0.108,5.94,0.092,53,142,0.99426,3.57,1.51,14.89,3
5.02,1.16,0.339,12.16,0.123,23,232,0.99879,3.09,0.92,14.14,8
4.62,0.147,0.803,6.79,0.025,28,187,0.9988,2.93,1.72,14.27,10
10.38,1.504,0.572,14.96,0.189,16,91,0.99669,3.75,1.07,12.61,2
10.49,0.178,0.513,8.61,0.153,37,58,1.00254,2.92,1.52,10.41,0
11.65,0.912,0.293,5.16,0.121,21,240,0.99397,3.13,0.48,14.26,10
12.71,1.164,0.932,3.69,0.167,17,272,0.99673,3.83,1.74,10.04,4
15.71,1.406,0.397,5.58,0.025,37,292,0.99807,3.22,1.55,11.94,9
10.2,1.171,0.087,5.9,0.101,19,105,0.99995,3.97,0.66,8.7,9
7.88,1.303,0.617,1.5,0.13,30,92,1.00176,3.98,0.55,14.45,1
13.54,0.609,0.114,5.86,0.167,45,20,0.99592,3.12,0.84,8.99,3
7.25,1.322,0.345,7.23,0.159,18,106,0.99969,2.85,1.96,9.57,1
9.27,0.22,0.507,10.98,0.063,62,170,0.99226,3.65,0.74,11.91,1
4.94,1.442,0.874,10.02,0.189,36,34,1.00399,3.34,1.08,13.35,2
4.3,0.921,0.494,10.78,0.034,52,119,0.99575,2.92,0.35,12.34,4
15.55,1.326,0.702,0.62,0.176,19,112,1.00094,3.65,0.98,9.62,3
14.03,0.778,0.993,3.66,0.194,44,135,0.99031,2.84,1.27,8.01,1
12.35,1.065,0.131,10.09,0.044,7,89,0.99308,3.84,1.92,13.3,10
8.91,0.89,0.275,7.52,0.147,44,276,0.99731,2.97,1.18,14.9,9
6.08,1.197,0.395,0.58,0.018,68,249,1.00317,2.95,1.69,13.67,1
5.88,0.222,0.422,12.17,0.087,34,219,0.99791,3.01,1.23,11.22,5
7.0,0.191,0.411,11.71,0.108,66,171,1.00395,3.95,0.37,14.33,6
10.59,0.471,0.908,8.45,0.12,69,284,0.99726,3.63,0.84,10.87,9
12.58,0.339,0.714,1.46,0.188,55,64,0.99736,3.76,1.28,11.67,5
