Airline,Date_Of_Journey,Flight,Source_City,Destination,Route,Departure_Time,Arrivala_Time,Total_Stops,Class,Duration,Days_Left,Price
Go First,2025-03-26,G86188,Hyderabad,Mumbai,Hyderabad -> Mumbai,2025-03-26 16:45:00,2025-03-26 20:18:00,Non-stop,Business,3h 33m,10,19101
Air India,2025-05-26,AI5509,Chennai,Mumbai,Chennai -> Mumbai,2025-05-26 22:50:00,2025-05-27 02:10:00,1 Stop,Business,3h 20m,11,11399
IndiGo,2025-07-10,6E191,Bangalore,Mumbai,Bangalore -> Mumbai,2025-07-10 03:30:00,2025-07-10 08:36:00,1 Stop,Economy,5h 6m,13,9578
Go First,2025-07-04,G82663,Delhi,Kolkata,Delhi -> Kolkata,2025-07-04 07:15:00,2025-07-04 14:14:00,2+ Stops,Economy,6h 59m,41,8913
Vistara,2025-07-03,UK9675,Chennai,Bangalore,Chennai -> Bangalore,2025-07-03 12:15:00,2025-07-03 22:56:00,2+ Stops,Economy,10h 41m,24,10561
Air India,2025-03-05,AI1787,Chennai,Mumbai,Chennai -> Mumbai,2025-03-05 08:30:00,2025-03-05 11:21:00,Non-stop,Business,2h 51m,18,22316
Go First,2025-06-14,G84642,Chennai,Hyderabad,Chennai -> Hyderabad,2025-06-14 06:10:00,2025-06-14 08:23:00,Non-stop,Economy,2h 13m,43,7537
Air India,2025-02-26,AI2448,Mumbai,Hyderabad,Mumbai -> Hyderabad,2025-02-26 10:00:00,2025-02-26 12:32:00,Non-stop,Business,2h 32m,56,25436
Vistara,2025-03-21,UK5459,Bangalore,Chennai,Bangalore -> Chennai,2025-03-21 07:30:00,2025-03-21 14:19:00,1 Stop,Business,6h 49m,49,22796
Go First,2025-07-31,G85293,Hyderabad,Delhi,Hyderabad -> Delhi,2025-07-31 06:10:00,2025-07-31 18:27:00,2+ Stops,Economy,12h 17m,57,11376
Vistara,2025-03-16,UK8129,Chennai,Bangalore,Chennai -> Bangalore,2025-03-16 17:20:00,2025-03-17 01:31:00,2+ Stops,Economy,8h 11m,44,12404
Akasa Air,2025-06-21,QP5768,Chennai,Kolkata,Chennai -> Kolkata,2025-06-21 17:10:00,2025-06-21 22:21:00,1 Stop,Economy,5h 11m,14,6009
SpiceJet,2025-04-28,SG8718,Mumbai,Delhi,Mumbai -> Delhi,2025-04-28 10:00:00,2025-04-28 15:32:00,1 Stop,Economy,5h 32m,38,9029
IndiGo,2025-02-07,6E4604,Chennai,Kolkata,Chennai -> Kolkata,2025-02-07 22:45:00,2025-02-08 04:25:00,1 Stop,Economy,5h 40m,26,9873
IndiGo,2025-03-18,6E7813,Hyderabad,Kolkata,Hyderabad -> Kolkata,2025-03-18 15:45:00,2025-03-19 04:19:00,2+ Stops,Economy,12h 34m,32,7325
IndiGo,2025-03-31,6E2609,Chennai,Mumbai,Chennai -> Mumbai,2025-03-31 02:20:00,2025-03-31 03:48:00,Non-stop,Economy,1h 28m,56,5074
IndiGo,2025-07-19,6E9014,Bangalore,Mumbai,Bangalore -> Mumbai,2025-07-19 23:00:00,2025-07-20 07:54:00,1 Stop,Business,8h 54m,42,18022
SpiceJet,2025-07-17,SG8559,Delhi,Hyderabad,Delhi -> Hyderabad,2025-07-17 21:00:00,2025-07-17 23:52:00,Non-stop,Economy,2h 52m,27,4684
IndiGo,2025-06-23,6E2927,Kolkata,Delhi,Kolkata -> Delhi,2025-06-23 06:45:00,2025-06-23 15:56:00,2+ Stops,Economy,9h 11m,18,9170
Go First,2025-06-25,G85845,Delhi,Kolkata,Delhi -> Kolkata,2025-06-25 22:00:00,2025-06-26 07:05:00,2+ Stops,Economy,9h 5m,30,6988
Akasa Air,2025-07-18,QP1515,Mumbai,Kolkata,Mumbai -> Kolkata,2025-07-18 00:50:00,2025-07-18 02:03:00,Non-stop,Business,1h 13m,38,12542
Akasa Air,2025-03-23,QP4142,Bangalore,Mumbai,Bangalore -> Mumbai,2025-03-23 09:00:00,2025-03-23 17:18:00,1 Stop,Economy,8h 18m,48,6072
Go First,2025-04-13,G85269,Kolkata,Mumbai,Kolkata -> Mumbai,2025-04-13 08:10:00,2025-04-13 11:26:00,Non-stop,Business,3h 16m,54,9334
Vistara,2025-07-07,UK5918,Hyderabad,Bangalore,Hyderabad -> Bangalore,2025-07-07 16:20:00,2025-07-08 04:13:00,2+ Stops,Economy,11h 53m,23,10197
Vistara,2025-07-13,UK2651,Hyderabad,Chennai,Hyderabad -> Chennai,2025-07-13 13:15:00,2025-07-14 01:58:00,2+ Stops,Business,12h 43m,14,20462
Go First,2025-05-18,G89137,Chennai,Bangalore,Chennai -> Bangalore,2025-05-18 06:15:00,2025-05-18 10:31:00,Non-stop,Economy,4h 16m,6,3444
Go First,2025-06-30,G83154,Kolkata,Mumbai,Kolkata -> Mumbai,2025-06-30 10:15:00,2025-06-30 19:57:00,2+ Stops,Economy,9h 42m,30,11012
IndiGo,2025-05-29,6E5979,Delhi,Bangalore,Delhi -> Bangalore,2025-05-29 10:15:00,2025-05-29 16:26:00,2+ Stops,Business,6h 11m,27,14930
Go First,2025-07-29,G83150,Delhi,Hyderabad,Delhi -> Hyderabad,2025-07-29 14:30:00,2025-07-30 01:57:00,2+ Stops,Business,11h 27m,52,16792
Akasa Air,2025-07-24,QP6214,Hyderabad,Bangalore,Hyderabad -> Bangalore,2025-07-24 12:15:00,2025-07-24 15:03:00,Non-stop,Economy,2h 48m,31,5948
Vistara,2025-02-15,UK4513,Hyderabad,Kolkata,Hyderabad -> Kolkata,2025-02-15 05:30:00,2025-02-15 09:26:00,Non-stop,Economy,3h 56m,38,9152
Air India,2025-03-06,AI2228,Chennai,Bangalore,Chennai -> Bangalore,2025-03-06 02:15:00,2025-03-06 05:44:00,Non-stop,Business,3h 29m,51,13062
IndiGo,2025-04-09,6E2516,Mumbai,Bangalore,Mumbai -> Bangalore,2025-04-09 02:10:00,2025-04-09 04:37:00,Non-stop,Economy,2h 27m,20,4504
Air India,2025-03-13,AI9198,Bangalore,Delhi,Bangalore -> Delhi,2025-03-13 11:00:00,2025-03-13 18:43:00,1 Stop,Business,7h 43m,31,16588
Vistara,2025-03-15,UK7693,Chennai,Mumbai,Chennai -> Mumbai,2025-03-15 12:10:00,2025-03-15 16:35:00,1 Stop,Business,4h 25m,49,23771
Vistara,2025-04-04,UK9880,Kolkata,Chennai,Kolkata -> Chennai,2025-04-04 15:45:00,2025-04-05 01:46:00,2+ Stops,Economy,10h 1m,5,13214
Air India,2025-02-03,AI6147,Bangalore,Kolkata,Bangalore -> Kolkata,2025-02-03 19:30:00,2025-02-03 23:11:00,1 Stop,Economy,3h 41m,33,7154
Air India,2025-02-21,AI824,Mumbai,Kolkata,Mumbai -> Kolkata,2025-02-21 10:20:00,2025-02-21 17:47:00,2+ Stops,Economy,7h 27m,28,10608
Vistara,2025-03-14,UK7975,Delhi,Kolkata,Delhi -> Kolkata,2025-03-14 05:20:00,2025-03-14 16:13:00,2+ Stops,Economy,10h 53m,27,11646
SpiceJet,2025-02-25,SG1761,Chennai,Kolkata,Chennai -> Kolkata,2025-02-25 05:15:00,2025-02-25 09:58:00,Non-stop,Business,4h 43m,52,7782
Akasa Air,2025-05-09,QP6681,Kolkata,Delhi,Kolkata -> Delhi,2025-05-09 08:45:00,2025-05-09 15:23:00,2+ Stops,Business,6h 38m,20,24775
Akasa Air,2025-02-23,QP5589,Hyderabad,Bangalore,Hyderabad -> Bangalore,2025-02-23 13:30:00,2025-02-23 21:35:00,1 Stop,Economy,8h 5m,8,4246
Akasa Air,2025-07-10,QP9769,Bangalore,Mumbai,Bangalore -> Mumbai,2025-07-10 23:50:00,2025-07-11 05:53:00,1 Stop,Business,6h 3m,33,10862
Vistara,2025-07-30,UK7640,Bangalore,Delhi,Bangalore -> Delhi,2025-07-30 21:15:00,2025-07-31 03:36:00,1 Stop,Business,6h 21m,57,14315
Air India,2025-04-27,AI4904,Bangalore,Hyderabad,Bangalore -> Hyderabad,2025-04-27 10:15:00,2025-04-27 16:53:00,2+ Stops,Economy,6h 38m,2,12923
IndiGo,2025-03-02,6E8804,Chennai,Kolkata,Chennai -> Kolkata,2025-03-02 02:30:00,2025-03-02 05:16:00,Non-stop,Economy,2h 46m,16,7684
Vistara,2025-07-26,UK7163,Bangalore,Kolkata,Bangalore -> Kolkata,2025-07-26 19:10:00,2025-07-27 07:43:00,2+ Stops,Business,12h 33m,30,12001
SpiceJet,2025-07-30,SG727,Mumbai,Chennai,Mumbai -> Chennai,2025-07-30 03:20:00,2025-07-30 14:25:00,2+ Stops,Business,11h 5m,47,35100
Vistara,2025-04-24,UK6665,Delhi,Bangalore,Delhi -> Bangalore,2025-04-24 23:45:00,2025-04-25 06:38:00,2+ Stops,Business,6h 53m,48,14244
SpiceJet,2025-04-08,SG5067,Hyderabad,Chennai,Hyderabad -> Chennai,2025-04-08 22:50:00,2025-04-09 02:26:00,Non-stop,Business,3h 36m,35,12786
SpiceJet,2025-02-24,SG3142,Bangalore,Chennai,Bangalore -> Chennai,2025-02-24 19:20:00,2025-02-24 22:37:00,Non-stop,Economy,3h 17m,43,5835
Air India,2025-03-28,AI406,Kolkata,Mumbai,Kolkata -> Mumbai,2025-03-28 14:30:00,2025-03-28 22:36:00,2+ Stops,Economy,8h 6m,18,8915
Akasa Air,2025-04-24,QP5418,Mumbai,Delhi,Mumbai -> Delhi,2025-04-24 23:45:00,2025-04-25 12:14:00,2+ Stops,Business,12h 29m,40,35146
Go First,2025-03-30,G86474,Kolkata,Chennai,Kolkata -> Chennai,2025-03-30 10:15:00,2025-03-30 16:24:00,1 Stop,Business,6h 9m,1,15264
Akasa Air,2025-05-01,QP2885,Chennai,Kolkata,Chennai -> Kolkata,2025-05-01 01:45:00,2025-05-01 08:25:00,2+ Stops,Business,6h 40m,17,24634
