Region,Date,Temp,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
1,31/08/2012,38,38,23,3.1,76.4,49.7,164.1,13.7,49.8,23.0,Fire
0,05/07/2012,29,69,13,11.8,49.1,21.4,74.0,6.4,20.9,9.9,Not Fire
1,11/09/2012,37,38,24,4.6,76.5,51.2,171.8,14.1,52.7,23.9,Not Fire
0,02/07/2012,29,69,14,12.1,49.1,22.1,76.1,6.0,23.4,10.2,Fire
0,22/06/2012,23,86,7,16.0,32.7,5.2,19.4,1.2,5.4,1.9,Fire
1,18/09/2012,40,30,27,1.8,87.0,60.1,200.3,16.8,62.0,28.3,Not Fire
0,20/06/2012,28,75,12,12.7,43.2,15.5,55.0,4.6,16.1,6.9,Not Fire
1,01/08/2012,30,63,15,10.4,54.5,26.4,91.4,7.2,26.6,12.3,Not Fire
0,12/06/2012,22,90,8,16.8,28.6,1.1,7.0,0.0,1.1,0.0,Fire
1,30/08/2012,34,46,21,6.1,71.7,44.0,149.4,12.1,45.1,20.6,Fire
1,28/08/2012,36,41,22,5.7,74.8,47.1,157.6,13.3,49.6,22.1,Not Fire
0,11/07/2012,28,65,14,11.3,52.3,24.8,86.2,6.9,24.4,11.4,Fire
0,20/06/2012,25,78,10,13.9,39.8,12.5,45.4,3.6,13.5,5.5,Fire
1,10/09/2012,36,38,22,4.6,74.6,48.9,163.6,13.3,49.3,22.6,Fire
0,24/06/2012,27,71,13,13.2,45.8,19.0,68.4,4.8,18.4,8.6,Fire
0,17/07/2012,29,66,15,10.8,51.3,25.0,81.8,6.6,26.3,11.0,Fire
1,01/09/2012,37,33,25,4.2,80.4,55.7,181.5,15.8,55.1,25.4,Fire
0,22/06/2012,26,77,8,14.4,37.8,11.6,40.6,3.3,11.9,4.7,Fire
1,12/08/2012,35,44,21,6.3,70.6,43.7,149.1,11.8,45.5,20.5,Fire
1,03/09/2012,38,40,23,5.0,77.1,49.7,167.1,13.9,50.8,23.2,Fire
0,02/06/2012,24,83,9,14.9,37.4,10.0,35.5,3.0,10.5,4.2,Fire
0,23/07/2012,31,58,16,8.8,57.1,30.9,107.5,8.9,31.4,14.5,Fire
0,27/06/2012,28,70,13,11.8,45.5,18.8,65.1,5.0,19.7,8.4,Fire
1,06/08/2012,34,50,19,7.9,66.5,40.3,129.1,10.3,40.9,18.2,Fire
1,19/09/2012,37,40,25,4.3,77.9,51.1,172.1,14.1,52.2,23.6,Fire
1,27/09/2012,41,21,28,0.6,92.1,65.6,217.8,18.5,67.2,30.7,Fire
1,21/09/2012,40,25,28,1.2,88.0,62.1,210.5,18.1,63.5,29.1,Fire
0,25/06/2012,24,85,6,16.0,33.2,3.9,21.4,1.1,5.2,1.8,Not Fire
1,21/08/2012,34,50,20,7.0,66.9,41.1,135.8,11.0,41.9,18.8,Fire
0,10/07/2012,27,66,14,11.6,48.1,20.9,74.0,6.0,22.5,9.7,Fire
0,17/06/2012,26,75,11,14.0,42.5,15.0,51.0,4.1,14.3,6.4,Fire
1,09/09/2012,40,30,24,2.1,85.0,57.6,193.3,16.2,58.6,27.1,Fire
0,04/06/2012,25,85,9,15.3,34.3,6.6,26.1,1.8,6.1,2.8,Fire
1,25/08/2012,34,46,22,5.4,69.0,42.2,142.0,11.7,42.4,19.8,Not Fire
0,25/07/2012,28,69,12,12.3,48.6,20.8,70.5,5.7,21.6,9.2,Fire
0,16/07/2012,31,61,16,9.8,58.0,30.6,103.5,8.4,31.1,14.0,Not Fire
0,12/07/2012,29,72,12,11.6,47.3,20.7,71.2,6.7,21.5,9.3,Not Fire
1,17/09/2012,40,31,26,2.3,85.4,57.7,192.1,16.4,58.8,27.2,Fire
1,19/09/2012,42,23,28,0.6,90.6,63.6,211.8,17.6,66.2,30.1,Fire
0,15/07/2012,30,63,16,9.4,54.9,27.0,92.7,7.4,28.7,12.6,Fire
0,04/06/2012,24,88,6,16.8,29.2,1.1,7.5,-0.0,1.1,-0.0,Not Fire
0,07/06/2012,22,90,6,16.8,30.1,1.4,7.0,0.0,1.1,-0.0,Fire
0,30/06/2012,29,68,14,12.2,48.9,21.3,75.2,5.6,22.9,10.0,Not Fire
1,13/09/2012,42,21,29,0.5,92.3,65.3,219.5,18.5,68.0,31.1,Not Fire
1,05/08/2012,32,53,20,7.1,62.3,35.8,122.9,9.2,37.2,16.9,Fire
0,09/06/2012,24,83,7,14.9,34.3,7.0,28.9,2.2,7.1,3.0,Fire
1,22/08/2012,38,42,24,4.1,77.2,49.9,168.8,12.8,50.0,23.3,Fire
0,06/07/2012,28,70,12,12.6,47.3,20.4,67.5,4.2,20.3,9.2,Fire
1,24/09/2012,42,24,28,-0.0,90.0,62.6,212.0,16.8,66.1,29.8,Not Fire
1,06/08/2012,33,60,17,8.7,58.8,32.1,108.2,8.6,32.8,15.0,Fire
1,08/09/2012,36,39,24,4.4,75.4,47.9,160.6,14.1,48.6,22.6,Fire
1,20/09/2012,39,28,27,2.0,85.3,58.6,195.0,15.7,61.1,27.5,Fire
0,02/07/2012,25,78,11,14.6,39.6,12.6,44.4,2.9,12.2,5.1,Not Fire
0,27/06/2012,29,70,14,11.6,48.8,20.2,72.1,5.6,21.4,9.4,Fire
0,24/07/2012,32,58,16,10.2,57.5,29.8,102.6,8.5,31.7,14.1,Fire
0,25/06/2012,27,76,12,12.9,44.1,16.1,58.9,4.0,15.9,7.2,Fire
1,23/09/2012,41,28,27,1.5,85.5,58.7,198.1,16.4,61.0,27.6,Not Fire
1,26/08/2012,38,39,22,3.9,75.6,50.2,162.7,13.2,50.4,23.0,Fire
1,14/09/2012,41,24,29,1.1,89.7,63.3,206.5,18.2,65.2,29.5,Fire
1,03/09/2012,36,47,20,7.0,70.4,43.4,149.5,12.2,44.4,20.4,Not Fire
1,28/09/2012,40,25,28,0.9,87.6,61.2,205.9,17.9,62.8,28.8,Not Fire
1,16/09/2012,40,23,27,0.2,89.2,62.1,209.1,17.0,65.6,29.4,Not Fire
1,24/08/2012,36,46,20,6.1,68.7,42.9,142.2,12.1,44.8,19.8,Fire
0,29/06/2012,28,73,12,12.1,45.7,18.1,66.8,4.3,17.8,8.3,Fire
0,24/06/2012,26,73,11,13.9,42.5,15.3,54.8,3.9,17.4,7.0,Fire
0,14/07/2012,28,68,13,11.2,49.7,21.3,74.8,5.6,22.1,10.0,Fire
0,11/06/2012,22,84,8,16.0,32.8,6.1,24.3,1.3,5.6,2.2,Not Fire
0,29/06/2012,26,74,9,13.6,42.2,15.0,50.5,4.3,15.1,6.5,Fire
1,10/09/2012,40,28,27,0.8,86.9,60.4,206.6,16.8,62.7,28.6,Not Fire
1,19/08/2012,33,50,20,7.6,66.1,39.8,129.2,10.8,39.6,18.0,Fire
1,26/09/2012,38,34,25,2.8,80.8,53.7,180.6,14.8,55.2,25.2,Fire
1,02/09/2012,36,36,24,3.1,78.3,50.8,169.4,13.5,52.2,23.8,Fire
1,04/09/2012,39,33,25,2.7,83.5,56.3,188.9,15.9,57.5,26.6,Fire
1,04/08/2012,33,57,16,8.0,59.8,33.4,111.9,9.3,34.5,15.2,Not Fire
0,19/06/2012,23,87,7,16.5,28.9,1.1,7.4,0.2,1.8,0.1,Fire
1,18/08/2012,35,42,23,5.5,72.9,44.6,150.5,12.9,45.8,21.3,Fire
1,23/09/2012,42,21,29,0.1,92.3,64.9,220.4,18.3,68.0,31.0,Fire
0,01/06/2012,22,90,6,15.6,28.8,1.5,7.0,0.0,1.1,0.1,Fire
0,26/06/2012,26,80,10,14.4,38.2,12.4,43.6,2.2,11.6,4.9,Fire
1,14/08/2012,36,46,20,5.5,68.8,42.3,142.5,11.4,44.6,19.8,Not Fire
1,04/08/2012,32,62,17,10.2,54.2,26.3,94.6,7.0,27.7,12.8,Not Fire
1,15/08/2012,35,43,22,5.5,71.1,45.1,145.9,12.5,43.8,20.2,Not Fire
0,22/07/2012,28,64,14,11.2,51.9,24.7,84.0,6.3,24.0,11.2,Not Fire
0,20/07/2012,29,62,14,10.0,53.3,26.8,90.7,6.8,27.5,12.1,Not Fire
0,28/07/2012,32,58,16,9.2,58.6,32.0,108.5,9.3,33.0,14.6,Fire
0,14/07/2012,29,60,16,9.5,53.2,25.9,87.9,6.4,26.0,12.0,Not Fire
1,09/09/2012,41,26,27,0.9,87.0,60.0,205.5,16.5,62.7,28.5,Not Fire
0,07/07/2012,24,85,8,14.9,34.7,6.6,25.0,2.5,7.7,2.9,Fire
1,15/09/2012,39,30,24,2.5,83.2,57.1,187.9,15.5,59.0,26.6,Not Fire
1,13/09/2012,40,29,27,1.0,86.9,61.0,200.9,17.0,60.9,28.3,Fire
0,31/07/2012,30,63,17,8.7,55.8,29.1,97.8,7.9,29.1,13.2,Fire
1,30/09/2012,41,21,27,1.1,92.0,65.9,220.4,18.2,66.7,31.1,Not Fire
0,10/06/2012,26,76,10,14.3,41.1,14.2,50.1,4.0,14.1,6.2,Not Fire
1,02/09/2012,36,40,23,5.5,73.5,47.0,157.3,13.1,48.4,21.9,Fire
0,06/07/2012,30,61,15,9.0,56.6,27.0,94.6,7.2,29.1,12.9,Fire
0,23/07/2012,34,51,20,6.8,65.6,39.6,131.9,11.0,40.1,18.2,Not Fire
0,07/06/2012,22,88,6,16.8,28.6,1.1,8.1,0.0,1.1,0.0,Fire
0,16/07/2012,28,68,13,11.1,50.0,22.5,78.7,5.6,22.2,10.1,Fire
1,29/08/2012,42,26,28,1.3,89.2,63.2,211.3,17.7,66.1,29.7,Fire
0,21/07/2012,29,63,15,11.0,53.6,26.6,90.0,6.7,27.9,12.2,Not Fire
