Region,Temp,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
0,22,89,6,16.3,29.0,2.2,7.0,0.3,1.1,0.1,0
0,33,50,18,7.5,63.8,36.8,126.5,10.7,38.2,17.1,0
0,31,61,15,9.1,55.3,27.9,94.3,7.8,28.6,13.1,1
1,38,34,25,2.9,81.4,54.4,183.3,14.6,55.6,25.6,0
1,31,57,16,9.0,59.0,31.3,106.8,8.9,33.2,14.8,0
1,41,21,28,0.4,90.7,64.6,216.6,17.6,67.5,30.5,1
0,29,64,14,10.7,52.5,23.6,88.0,7.4,25.8,11.7,1
1,32,57,17,8.7,59.7,30.3,109.4,8.7,34.4,14.9,1
0,35,43,22,5.6,71.8,44.7,148.4,12.0,46.1,20.6,0
0,22,89,6,16.7,29.6,1.5,7.0,0.0,1.8,-0.0,1
1,37,37,24,4.5,75.7,49.6,163.9,13.6,49.1,22.9,1
0,30,65,14,10.8,51.7,23.1,81.0,6.1,24.1,11.1,1
1,34,44,22,5.4,71.5,44.2,149.5,13.4,45.5,20.9,0
0,24,84,8,16.8,31.4,3.9,19.2,1.2,3.5,1.5,0
1,39,33,25,2.9,82.4,55.8,185.4,15.1,56.1,26.0,0
1,38,29,27,2.0,85.6,58.7,195.4,16.2,58.8,27.4,0
1,39,29,26,1.2,85.8,59.0,197.3,16.2,62.5,27.9,1
0,30,61,15,9.8,54.7,28.2,93.7,7.6,29.2,13.1,0
1,38,32,25,2.8,83.1,55.0,188.1,15.4,58.1,26.0,0
0,28,71,13,12.5,46.9,19.8,66.7,5.4,18.5,8.8,0
0,29,71,13,10.9,47.9,21.7,68.8,5.2,22.4,9.4,1
0,31,62,16,10.2,55.9,28.7,98.5,7.9,30.6,13.3,0
1,37,41,22,5.8,74.6,46.0,158.2,13.0,47.1,21.8,0
1,41,21,29,0.0,92.4,65.9,217.7,18.5,67.7,31.1,1
1,32,50,20,7.2,64.3,38.3,128.7,10.1,39.9,17.8,0
1,41,23,29,0.2,91.5,65.0,213.7,18.5,65.8,30.1,0
1,35,48,19,7.3,65.6,39.4,128.3,11.0,40.4,17.9,1
0,31,58,19,8.4,60.2,32.8,112.2,9.1,35.8,15.5,0
1,37,45,23,6.6,72.1,45.2,151.3,12.7,45.3,21.1,1
1,42,22,29,0.0,92.1,65.7,220.2,18.5,68.0,31.0,1
0,29,68,14,11.5,47.7,21.3,72.0,5.7,22.3,9.5,1
0,30,62,17,9.7,55.2,27.1,98.0,7.5,29.7,13.0,1
0,27,73,11,13.3,42.2,16.1,56.5,4.4,17.6,7.2,0
0,30,59,17,9.3,58.4,30.5,102.5,8.4,31.4,14.0,0
1,40,30,27,2.3,86.6,58.6,194.0,17.0,60.1,27.6,1
1,37,39,22,5.5,74.3,47.8,160.1,12.8,47.7,22.1,0
1,35,44,22,5.9,71.5,43.4,148.4,11.8,45.9,20.5,1
1,40,31,25,2.6,81.3,54.9,186.6,15.2,55.5,25.7,0
0,27,77,9,13.7,39.4,11.6,41.3,2.7,11.3,5.1,1
0,24,82,8,15.4,33.8,7.4,25.9,1.2,8.6,3.0,1
1,42,21,28,0.0,92.5,65.9,220.4,17.9,68.0,31.0,1
1,37,33,26,2.8,83.1,55.8,185.7,15.7,57.8,26.3,1
1,38,31,24,3.2,78.5,51.7,175.0,14.9,53.7,24.6,0
0,22,89,7,16.8,28.6,1.5,8.7,1.3,1.1,0.1,0
0,25,75,10,14.3,40.4,12.4,41.5,3.3,10.9,5.1,1
1,35,41,22,3.8,71.8,45.8,154.6,13.2,47.9,21.4,0
1,34,46,23,6.7,69.9,43.8,148.0,12.2,42.9,20.2,1
0,31,60,17,9.1,57.7,30.1,103.5,7.4,31.2,14.1,0
0,29,64,15,10.3,51.8,24.8,87.5,6.2,26.6,11.7,0
1,32,57,16,8.8,58.2,31.2,104.6,8.3,32.3,14.2,0
1,41,28,26,1.0,85.0,58.7,196.7,16.7,60.6,27.7,0
1,36,40,25,4.3,78.4,50.0,167.4,14.3,50.5,23.6,0
0,28,72,12,12.5,46.7,20.2,68.4,5.4,19.1,8.7,1
0,24,87,8,15.5,32.9,5.5,22.4,1.5,5.4,2.1,1
0,23,88,8,16.1,30.8,4.5,18.6,1.1,4.8,1.5,0
0,24,86,7,16.0,33.0,5.1,19.8,0.9,5.1,2.1,0
0,25,80,10,13.9,39.4,12.1,37.9,3.2,11.7,5.2,0
1,42,22,28,0.6,92.5,65.9,220.4,18.5,67.7,31.1,1
1,31,63,16,10.5,55.1,28.9,99.8,8.1,30.9,13.6,1
0,29,65,15,11.0,51.7,23.7,83.0,7.0,26.1,11.0,0
1,37,38,23,4.0,77.1,49.9,167.0,13.8,50.6,23.4,0
0,25,77,11,13.9,40.4,12.6,47.2,3.2,12.0,5.5,1
0,27,75,12,12.4,45.3,18.7,63.2,5.1,20.2,8.5,0
1,33,49,19,8.0,66.6,39.3,135.3,11.2,41.3,18.5,1
1,37,33,24,3.5,80.1,53.1,182.1,14.4,54.0,25.3,0
0,28,70,14,11.7,49.6,21.8,75.4,6.0,21.9,9.9,1
0,24,76,11,13.5,40.3,12.6,47.4,3.7,12.5,5.8,1
0,32,58,17,9.2,57.6,31.4,103.0,8.9,33.8,14.5,0
1,38,35,25,4.2,78.2,52.3,176.0,15.4,52.8,24.5,1
0,28,64,13,11.0,49.7,23.4,76.6,6.4,22.2,10.2,0
1,35,47,20,7.0,68.5,41.0,136.1,11.6,42.7,19.1,1
0,23,88,6,16.6,29.6,1.7,11.4,-0.0,2.7,0.4,1
1,42,22,29,0.0,91.4,65.9,219.9,18.4,67.2,31.0,0
1,40,27,27,0.7,87.6,62.2,206.3,16.8,62.3,28.9,0
1,38,32,24,3.3,79.6,53.0,176.0,14.4,54.3,24.7,1
1,35,40,21,5.6,74.3,46.9,154.7,13.4,48.4,21.6,1
0,22,90,7,15.9,30.4,3.3,15.3,0.4,4.1,1.3,1
0,23,86,8,15.0,32.8,6.0,21.5,0.9,4.6,1.8,1
0,28,69,12,12.0,47.1,21.1,67.3,5.2,20.7,9.0,1
0,25,79,9,14.2,38.3,10.3,40.3,2.8,12.9,4.7,1
0,28,71,12,11.0,47.7,20.9,68.3,5.3,21.4,9.2,1
1,32,52,20,8.0,63.2,36.8,120.3,10.5,36.8,16.8,1
1,32,53,18,7.8,59.9,32.5,112.5,9.6,34.1,15.5,0
1,38,35,25,2.5,79.0,51.4,173.9,15.0,53.3,24.5,0
0,30,62,17,9.8,52.7,25.5,89.3,6.8,27.0,11.8,0
0,29,68,14,10.2,47.8,21.9,74.1,5.5,21.3,9.7,1
1,35,47,20,5.7,69.0,41.6,138.6,11.6,42.7,19.6,1
1,37,41,24,4.0,74.7,48.8,161.2,13.0,49.8,22.6,1
0,30,61,14,10.5,54.0,25.8,93.6,7.8,27.4,12.5,1
0,25,77,9,15.1,40.1,12.2,40.8,2.8,10.6,5.1,1
1,36,51,21,7.2,66.6,41.2,138.4,11.1,40.9,18.8,0
0,27,73,10,12.1,43.6,17.1,58.2,4.0,16.6,7.4,0
0,25,84,7,14.9,34.4,6.5,27.1,1.8,9.2,3.0,1
0,33,49,19,7.5,65.2,37.9,128.5,11.1,40.2,18.0,0
1,33,48,19,7.4,63.7,37.6,127.0,10.0,39.2,17.3,1
1,31,58,18,8.9,60.0,33.2,113.3,9.0,33.1,15.5,0
0,22,87,6,16.8,28.6,2.0,8.1,0.4,1.9,0.2,0
1,39,26,27,1.1,88.6,61.5,205.3,16.5,63.3,28.8,1
0,24,81,10,14.1,37.2,11.8,34.7,2.8,10.4,4.4,0
1,36,44,20,6.2,69.2,42.3,143.4,11.4,43.4,19.9,1
0,23,90,6,16.8,28.6,1.1,7.0,0.0,2.5,-0.0,1
1,34,49,21,6.9,68.1,41.0,139.1,11.1,41.7,19.1,1
0,25,78,10,15.1,35.7,10.8,34.7,2.8,8.3,4.0,1
1,36,44,21,5.3,72.7,44.9,153.8,12.2,47.0,21.3,1
1,37,38,23,4.0,75.9,49.3,167.2,13.9,51.5,23.0,1
1,33,45,20,6.2,68.2,41.7,144.0,11.8,44.2,19.7,1
0,26,79,9,14.1,39.7,13.0,42.6,3.4,10.2,5.2,1
1,35,45,22,5.5,70.5,44.7,152.2,12.5,46.5,21.1,0
1,34,53,18,8.4,61.9,36.0,119.4,9.9,36.9,16.7,1
1,42,21,28,-0.0,92.5,65.2,220.4,18.4,68.0,31.0,0
1,38,38,23,3.1,76.4,49.7,164.1,13.7,49.8,23.0,1
0,29,69,13,11.8,49.1,21.4,74.0,6.4,20.9,9.9,0
1,37,38,24,4.6,76.5,51.2,171.8,14.1,52.7,23.9,0
0,29,69,14,12.1,49.1,22.1,76.1,6.0,23.4,10.2,1
0,23,86,7,16.0,32.7,5.2,19.4,1.2,5.4,1.9,1
1,40,30,27,1.8,87.0,60.1,200.3,16.8,62.0,28.3,0
0,28,75,12,12.7,43.2,15.5,55.0,4.6,16.1,6.9,0
1,30,63,15,10.4,54.5,26.4,91.4,7.2,26.6,12.3,0
0,22,90,8,16.8,28.6,1.1,7.0,0.0,1.1,0.0,1
1,34,46,21,6.1,71.7,44.0,149.4,12.1,45.1,20.6,1
1,36,41,22,5.7,74.8,47.1,157.6,13.3,49.6,22.1,0
0,28,65,14,11.3,52.3,24.8,86.2,6.9,24.4,11.4,1
0,25,78,10,13.9,39.8,12.5,45.4,3.6,13.5,5.5,1
1,36,38,22,4.6,74.6,48.9,163.6,13.3,49.3,22.6,1
0,27,71,13,13.2,45.8,19.0,68.4,4.8,18.4,8.6,1
0,29,66,15,10.8,51.3,25.0,81.8,6.6,26.3,11.0,1
1,37,33,25,4.2,80.4,55.7,181.5,15.8,55.1,25.4,1
0,26,77,8,14.4,37.8,11.6,40.6,3.3,11.9,4.7,1
1,35,44,21,6.3,70.6,43.7,149.1,11.8,45.5,20.5,1
1,38,40,23,5.0,77.1,49.7,167.1,13.9,50.8,23.2,1
0,24,83,9,14.9,37.4,10.0,35.5,3.0,10.5,4.2,1
0,31,58,16,8.8,57.1,30.9,107.5,8.9,31.4,14.5,1
0,28,70,13,11.8,45.5,18.8,65.1,5.0,19.7,8.4,1
1,34,50,19,7.9,66.5,40.3,129.1,10.3,40.9,18.2,1
1,37,40,25,4.3,77.9,51.1,172.1,14.1,52.2,23.6,1
1,41,21,28,0.6,92.1,65.6,217.8,18.5,67.2,30.7,1
1,40,25,28,1.2,88.0,62.1,210.5,18.1,63.5,29.1,1
0,24,85,6,16.0,33.2,3.9,21.4,1.1,5.2,1.8,0
1,34,50,20,7.0,66.9,41.1,135.8,11.0,41.9,18.8,1
0,27,66,14,11.6,48.1,20.9,74.0,6.0,22.5,9.7,1
0,26,75,11,14.0,42.5,15.0,51.0,4.1,14.3,6.4,1
1,40,30,24,2.1,85.0,57.6,193.3,16.2,58.6,27.1,1
0,25,85,9,15.3,34.3,6.6,26.1,1.8,6.1,2.8,1
1,34,46,22,5.4,69.0,42.2,142.0,11.7,42.4,19.8,0
0,28,69,12,12.3,48.6,20.8,70.5,5.7,21.6,9.2,1
0,31,61,16,9.8,58.0,30.6,103.5,8.4,31.1,14.0,0
0,29,72,12,11.6,47.3,20.7,71.2,6.7,21.5,9.3,0
1,40,31,26,2.3,85.4,57.7,192.1,16.4,58.8,27.2,1
1,42,23,28,0.6,90.6,63.6,211.8,17.6,66.2,30.1,1
0,30,63,16,9.4,54.9,27.0,92.7,7.4,28.7,12.6,1
0,24,88,6,16.8,29.2,1.1,7.5,-0.0,1.1,-0.0,0
0,22,90,6,16.8,30.1,1.4,7.0,0.0,1.1,-0.0,1
0,29,68,14,12.2,48.9,21.3,75.2,5.6,22.9,10.0,0
1,42,21,29,0.5,92.3,65.3,219.5,18.5,68.0,31.1,0
1,32,53,20,7.1,62.3,35.8,122.9,9.2,37.2,16.9,1
0,24,83,7,14.9,34.3,7.0,28.9,2.2,7.1,3.0,1
1,38,42,24,4.1,77.2,49.9,168.8,12.8,50.0,23.3,1
0,28,70,12,12.6,47.3,20.4,67.5,4.2,20.3,9.2,1
1,42,24,28,-0.0,90.0,62.6,212.0,16.8,66.1,29.8,0
1,33,60,17,8.7,58.8,32.1,108.2,8.6,32.8,15.0,1
1,36,39,24,4.4,75.4,47.9,160.6,14.1,48.6,22.6,1
1,39,28,27,2.0,85.3,58.6,195.0,15.7,61.1,27.5,1
0,25,78,11,14.6,39.6,12.6,44.4,2.9,12.2,5.1,0
0,29,70,14,11.6,48.8,20.2,72.1,5.6,21.4,9.4,1
0,32,58,16,10.2,57.5,29.8,102.6,8.5,31.7,14.1,1
0,27,76,12,12.9,44.1,16.1,58.9,4.0,15.9,7.2,1
1,41,28,27,1.5,85.5,58.7,198.1,16.4,61.0,27.6,0
1,38,39,22,3.9,75.6,50.2,162.7,13.2,50.4,23.0,1
1,41,24,29,1.1,89.7,63.3,206.5,18.2,65.2,29.5,1
1,36,47,20,7.0,70.4,43.4,149.5,12.2,44.4,20.4,0
1,40,25,28,0.9,87.6,61.2,205.9,17.9,62.8,28.8,0
1,40,23,27,0.2,89.2,62.1,209.1,17.0,65.6,29.4,0
1,36,46,20,6.1,68.7,42.9,142.2,12.1,44.8,19.8,1
0,28,73,12,12.1,45.7,18.1,66.8,4.3,17.8,8.3,1
0,26,73,11,13.9,42.5,15.3,54.8,3.9,17.4,7.0,1
0,28,68,13,11.2,49.7,21.3,74.8,5.6,22.1,10.0,1
0,22,84,8,16.0,32.8,6.1,24.3,1.3,5.6,2.2,0
0,26,74,9,13.6,42.2,15.0,50.5,4.3,15.1,6.5,1
1,40,28,27,0.8,86.9,60.4,206.6,16.8,62.7,28.6,0
1,33,50,20,7.6,66.1,39.8,129.2,10.8,39.6,18.0,1
1,38,34,25,2.8,80.8,53.7,180.6,14.8,55.2,25.2,1
1,36,36,24,3.1,78.3,50.8,169.4,13.5,52.2,23.8,1
1,39,33,25,2.7,83.5,56.3,188.9,15.9,57.5,26.6,1
1,33,57,16,8.0,59.8,33.4,111.9,9.3,34.5,15.2,0
0,23,87,7,16.5,28.9,1.1,7.4,0.2,1.8,0.1,1
1,35,42,23,5.5,72.9,44.6,150.5,12.9,45.8,21.3,1
1,42,21,29,0.1,92.3,64.9,220.4,18.3,68.0,31.0,1
0,22,90,6,15.6,28.8,1.5,7.0,0.0,1.1,0.1,1
0,26,80,10,14.4,38.2,12.4,43.6,2.2,11.6,4.9,1
1,36,46,20,5.5,68.8,42.3,142.5,11.4,44.6,19.8,0
1,32,62,17,10.2,54.2,26.3,94.6,7.0,27.7,12.8,0
1,35,43,22,5.5,71.1,45.1,145.9,12.5,43.8,20.2,0
0,28,64,14,11.2,51.9,24.7,84.0,6.3,24.0,11.2,0
0,29,62,14,10.0,53.3,26.8,90.7,6.8,27.5,12.1,0
0,32,58,16,9.2,58.6,32.0,108.5,9.3,33.0,14.6,1
0,29,60,16,9.5,53.2,25.9,87.9,6.4,26.0,12.0,0
1,41,26,27,0.9,87.0,60.0,205.5,16.5,62.7,28.5,0
0,24,85,8,14.9,34.7,6.6,25.0,2.5,7.7,2.9,1
1,39,30,24,2.5,83.2,57.1,187.9,15.5,59.0,26.6,0
1,40,29,27,1.0,86.9,61.0,200.9,17.0,60.9,28.3,1
0,30,63,17,8.7,55.8,29.1,97.8,7.9,29.1,13.2,1
1,41,21,27,1.1,92.0,65.9,220.4,18.2,66.7,31.1,0
0,26,76,10,14.3,41.1,14.2,50.1,4.0,14.1,6.2,0
1,36,40,23,5.5,73.5,47.0,157.3,13.1,48.4,21.9,1
0,30,61,15,9.0,56.6,27.0,94.6,7.2,29.1,12.9,1
0,34,51,20,6.8,65.6,39.6,131.9,11.0,40.1,18.2,0
0,22,88,6,16.8,28.6,1.1,8.1,0.0,1.1,0.0,1
0,28,68,13,11.1,50.0,22.5,78.7,5.6,22.2,10.1,1
1,42,26,28,1.3,89.2,63.2,211.3,17.7,66.1,29.7,1
0,29,63,15,11.0,53.6,26.6,90.0,6.7,27.9,12.2,0
